
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        2
0.61372 0.37594 0.80000 
0.58717 0.34586 0.80000 
0.55495 0.31579 0.80000 
0.54545 0.30823 0.80000 
0.52936 0.28571 0.80000 
0.50376 0.25564 0.80000 
0.47103 0.22556 0.80000 
0.42605 0.19549 0.80000 
0.42424 0.19450 0.80000 
0.40037 0.16541 0.80000 
0.36477 0.13534 0.80000 
0.30303 0.10546 0.80000 
0.30291 0.10526 0.80000 
0.28023 0.07519 0.80000 
0.22267 0.04511 0.80000 
0.18182 0.03524 0.80000 
0.17771 0.01504 0.80000 
0.17771 -0.01504 0.80000 

-0.17771 0.01504 0.80000 
-0.18182 0.03524 0.80000 
-0.22267 0.04511 0.80000 
-0.28023 0.07519 0.80000 
-0.30291 0.10526 0.80000 
-0.30303 0.10546 0.80000 
-0.36477 0.13534 0.80000 
-0.40037 0.16541 0.80000 
-0.42424 0.19450 0.80000 
-0.42605 0.19549 0.80000 
-0.47103 0.22556 0.80000 
-0.50376 0.25564 0.80000 
-0.52936 0.28571 0.80000 
-0.54545 0.30823 0.80000 
-0.55495 0.31579 0.80000 
-0.58717 0.34586 0.80000 
-0.61372 0.37594 0.80000 
-0.63630 0.40602 0.80000 
-0.65603 0.43609 0.80000 
-0.66667 0.45414 0.80000 
-0.67741 0.46617 0.80000 
-0.70112 0.49624 0.80000 
-0.72194 0.52632 0.80000 
-0.74049 0.55639 0.80000 
-0.75723 0.58647 0.80000 
-0.77251 0.61654 0.80000 
-0.78660 0.64662 0.80000 
-0.78788 0.64959 0.80000 
-0.80358 0.67669 0.80000 
-0.81932 0.70677 0.80000 
-0.83364 0.73684 0.80000 
-0.84673 0.76692 0.80000 
-0.85875 0.79699 0.80000 
-0.86982 0.82707 0.80000 
-0.88004 0.85714 0.80000 
-0.88950 0.88722 0.80000 
-0.89824 0.91729 0.80000 
-0.90634 0.94737 0.80000 
-0.90909 0.95863 0.80000 
-0.91470 0.97744 0.80000 
-0.92275 1.00752 0.80000 
-0.93000 1.03759 0.80000 
-0.93647 1.06767 0.80000 
-0.94222 1.09774 0.80000 
-0.94728 1.12782 0.80000 
-0.95167 1.15789 0.80000 
-0.95540 1.18797 0.80000 
-0.95849 1.21805 0.80000 
-0.96095 1.24812 0.80000 
-0.96279 1.27820 0.80000 
-0.96401 1.30827 0.80000 
-0.96461 1.33835 0.80000 
-0.96459 1.36842 0.80000 
-0.96394 1.39850 0.80000 
-0.96266 1.42857 0.80000 
-0.96074 1.45865 0.80000 
-0.95817 1.48872 0.80000 
-0.95494 1.51880 0.80000 
-0.95104 1.54887 0.80000 
-0.94646 1.57895 0.80000 
-0.94119 1.60902 0.80000 
-0.93520 1.63910 0.80000 
-0.92850 1.66917 0.80000 
-0.92105 1.69925 0.80000 
-0.91285 1.72932 0.80000 
-0.90909 1.74217 0.80000 
-0.90391 1.75940 0.80000 
-0.89416 1.78947 0.80000 
-0.88353 1.81955 0.80000 
-0.87200 1.84962 0.80000 
-0.85956 1.87970 0.80000 
-0.84617 1.90977 0.80000 
-0.83182 1.93985 0.80000 
-0.81648 1.96992 0.80000 
-0.80013 2.00000 0.80000 
-0.78788 2.02140 0.80000 
-0.78246 2.03008 0.80000 
-0.76292 2.06015 0.80000 
-0.74213 2.09023 0.80000 
-0.72008 2.12030 0.80000 
-0.69672 2.15038 0.80000 
-0.67204 2.18045 0.80000 
-0.66667 2.18682 0.80000 
-0.64366 2.21053 0.80000 
-0.61302 2.24060 0.80000 
-0.58070 2.27068 0.80000 
-0.54665 2.30075 0.80000 
-0.54545 2.30179 0.80000 
-0.50459 2.33083 0.80000 
-0.46008 2.36090 0.80000 
-0.42424 2.38412 0.80000 
-0.41025 2.39098 0.80000 
-0.34744 2.42105 0.80000 
-0.30303 2.44153 0.80000 
-0.27165 2.45113 0.80000 
-0.18182 2.47803 0.80000 
-0.16022 2.48120 0.80000 
-0.06061 2.49588 0.80000 
0.06061 2.49588 0.80000 

-0.06061 -2.49588 0.80000 
-0.16022 -2.48120 0.80000 
-0.18182 -2.47803 0.80000 
-0.27165 -2.45113 0.80000 
-0.30303 -2.44153 0.80000 
-0.34744 -2.42105 0.80000 
-0.41025 -2.39098 0.80000 
-0.42424 -2.38412 0.80000 
-0.46008 -2.36090 0.80000 
-0.50459 -2.33083 0.80000 
-0.54545 -2.30179 0.80000 
-0.54665 -2.30075 0.80000 
-0.58070 -2.27068 0.80000 
-0.61302 -2.24060 0.80000 
-0.64366 -2.21053 0.80000 
-0.66667 -2.18682 0.80000 
-0.67204 -2.18045 0.80000 
-0.69672 -2.15038 0.80000 
-0.72008 -2.12030 0.80000 
-0.74213 -2.09023 0.80000 
-0.76292 -2.06015 0.80000 
-0.78246 -2.03008 0.80000 
-0.78788 -2.02140 0.80000 
-0.80013 -2.00000 0.80000 
-0.81648 -1.96992 0.80000 
-0.83182 -1.93985 0.80000 
-0.84617 -1.90977 0.80000 
-0.85956 -1.87970 0.80000 
-0.87200 -1.84962 0.80000 
-0.88353 -1.81955 0.80000 
-0.89416 -1.78947 0.80000 
-0.90391 -1.75940 0.80000 
-0.90909 -1.74217 0.80000 
-0.91285 -1.72932 0.80000 
-0.92105 -1.69925 0.80000 
-0.92850 -1.66917 0.80000 
-0.93520 -1.63910 0.80000 
-0.94119 -1.60902 0.80000 
-0.94646 -1.57895 0.80000 
-0.95104 -1.54887 0.80000 
-0.95494 -1.51880 0.80000 
-0.95817 -1.48872 0.80000 
-0.96074 -1.45865 0.80000 
-0.96266 -1.42857 0.80000 
-0.96394 -1.39850 0.80000 
