
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:      0.1
0.45455 0.48796 0.07000 
0.46639 0.49186 0.07000 
0.48793 0.49937 0.07000 
0.50818 0.50688 0.07000 
0.51515 0.50959 0.07000 
0.53369 0.51439 0.07000 
0.56058 0.52190 0.07000 
0.57576 0.52644 0.07000 
0.59159 0.52941 0.07000 
0.62814 0.53692 0.07000 
0.63636 0.53874 0.07000 
0.68124 0.54443 0.07000 
0.69697 0.54664 0.07000 
0.75758 0.55017 0.07000 
0.81818 0.54928 0.07000 
0.87266 0.54443 0.07000 
0.87879 0.54383 0.07000 
0.92106 0.53692 0.07000 
0.93939 0.53358 0.07000 
0.95716 0.52941 0.07000 
0.98651 0.52190 0.07000 
1.00000 0.51815 0.07000 
1.01185 0.51439 0.07000 
1.03405 0.50688 0.07000 
1.05444 0.49937 0.07000 
1.06061 0.49698 0.07000 
1.07294 0.49186 0.07000 
1.09004 0.48436 0.07000 
1.10600 0.47685 0.07000 
1.12093 0.46934 0.07000 
1.12121 0.46919 0.07000 
1.13508 0.46183 0.07000 
1.14844 0.45432 0.07000 
1.16105 0.44681 0.07000 
1.17297 0.43930 0.07000 
1.18182 0.43343 0.07000 
1.18432 0.43179 0.07000 
1.19539 0.42428 0.07000 
1.20592 0.41677 0.07000 
1.21594 0.40926 0.07000 
1.22548 0.40175 0.07000 
1.23456 0.39424 0.07000 
1.24242 0.38743 0.07000 
1.24325 0.38673 0.07000 
1.25196 0.37922 0.07000 
1.26028 0.37171 0.07000 
1.26823 0.36421 0.07000 
1.27585 0.35670 0.07000 
1.28313 0.34919 0.07000 
1.29010 0.34168 0.07000 
1.29676 0.33417 0.07000 
1.30303 0.32678 0.07000 
1.30314 0.32666 0.07000 
1.30967 0.31915 0.07000 
1.31592 0.31164 0.07000 
1.32192 0.30413 0.07000 
1.32767 0.29662 0.07000 
1.33319 0.28911 0.07000 
1.33847 0.28160 0.07000 
1.34353 0.27409 0.07000 
1.34838 0.26658 0.07000 
1.35302 0.25907 0.07000 
1.35747 0.25156 0.07000 
1.36172 0.24406 0.07000 
1.36364 0.24053 0.07000 
1.36595 0.23655 0.07000 
1.37015 0.22904 0.07000 
1.37417 0.22153 0.07000 
1.37801 0.21402 0.07000 
1.38168 0.20651 0.07000 
1.38517 0.19900 0.07000 
1.38851 0.19149 0.07000 
1.39169 0.18398 0.07000 
1.39471 0.17647 0.07000 
1.39758 0.16896 0.07000 
1.40030 0.16145 0.07000 
1.40287 0.15394 0.07000 
1.40531 0.14643 0.07000 
1.40760 0.13892 0.07000 
1.40976 0.13141 0.07000 
1.41179 0.12390 0.07000 
1.41368 0.11640 0.07000 
1.41545 0.10889 0.07000 
1.41709 0.10138 0.07000 
1.41860 0.09387 0.07000 
1.41999 0.08636 0.07000 
1.42126 0.07885 0.07000 
1.42241 0.07134 0.07000 
1.42344 0.06383 0.07000 
1.42424 0.05724 0.07000 
1.42436 0.05632 0.07000 
1.42523 0.04881 0.07000 
1.42597 0.04130 0.07000 
1.42659 0.03379 0.07000 
1.42708 0.02628 0.07000 
1.42745 0.01877 0.07000 
1.42770 0.01126 0.07000 
1.42782 0.00375 0.07000 
1.42782 -0.00375 0.07000 

-0.28017 0.39424 0.07000 
-0.27273 0.38980 0.07000 
-0.26894 0.38673 0.07000 
-0.25950 0.37922 0.07000 
-0.24999 0.37171 0.07000 
-0.24036 0.36421 0.07000 
-0.23057 0.35670 0.07000 
-0.22058 0.34919 0.07000 
-0.21212 0.34301 0.07000 
-0.21073 0.34168 0.07000 
-0.20273 0.33417 0.07000 
-0.19479 0.32666 0.07000 
-0.18687 0.31915 0.07000 
-0.17894 0.31164 0.07000 
-0.17098 0.30413 0.07000 
-0.16294 0.29662 0.07000 
-0.15476 0.28911 0.07000 
-0.15152 0.28624 0.07000 
-0.14731 0.28160 0.07000 
-0.14054 0.27409 0.07000 
-0.13395 0.26658 0.07000 
-0.12750 0.25907 0.07000 
-0.12117 0.25156 0.07000 
-0.11493 0.24406 0.07000 
-0.10874 0.23655 0.07000 
-0.10257 0.22904 0.07000 
-0.09636 0.22153 0.07000 
-0.09091 0.21509 0.07000 
-0.09003 0.21402 0.07000 
-0.08376 0.20651 0.07000 
-0.07787 0.19900 0.07000 
-0.07234 0.19149 0.07000 
-0.06714 0.18398 0.07000 
-0.06225 0.17647 0.07000 
-0.05764 0.16896 0.07000 
-0.05329 0.16145 0.07000 
-0.04914 0.15394 0.07000 
-0.04516 0.14643 0.07000 
-0.04128 0.13892 0.07000 
-0.03741 0.13141 0.07000 
-0.03343 0.12390 0.07000 
-0.03030 0.11856 0.07000 
0.03030 0.11856 0.07000 
0.03343 0.12390 0.07000 
0.03741 0.13141 0.07000 
0.04128 0.13892 0.07000 
0.04516 0.14643 0.07000 
0.04914 0.15394 0.07000 
0.05329 0.16145 0.07000 
0.05764 0.16896 0.07000 
0.06225 0.17647 0.07000 
0.06714 0.18398 0.07000 
0.07234 0.19149 0.07000 
0.07787 0.19900 0.07000 
0.08376 0.20651 0.07000 
0.09003 0.21402 0.07000 
0.09091 0.21509 0.07000 
0.09636 0.22153 0.07000 
